"adm0_id","adm0_name","adm0_ha","for_afc_tco2e","for_afc_ha"
"AFG","Afghanistan",64346581,NA,NA
"AGO","Angola",125450572,368589.288167,226200
"ALB","Albania",2870481,NA,NA
"AND","Andorra",46473,NA,NA
"ARE","United Arab Emirates",7118978,NA,NA
"ARG","Argentina",278550501,7248045.405355,21434200
"ARM","Armenia",2974631,NA,NA
"ATG","Antigua and Barbuda",44907,NA,NA
"AUS","Australia",771798320,2247288.193618,4678100
"AUT","Austria",8388775,NA,NA
"AZE","Azerbaijan",8624470,181.123578,6900
"BDI","Burundi",2701443,22296.563333,98900
"BEL","Belgium",3061332,NA,NA
"BEN","Benin",11602476,744.164395,17200
"BFA","Burkina Faso",27502866,NA,NA
"BGD","Bangladesh",13998639,23976.867675,171800
"BGR","Bulgaria",11101046,NA,NA
"BHR","Bahrain",78197,NA,NA
"BHS","Bahamas",1251035,10993.340193,66900
"BIH","Bosnia and Herzegovina",5123705,NA,NA
"BLR","Belarus",20720930,NA,NA
"BLZ","Belize",2216600,320464.042967,335500
"BOL","Bolivia",108987436,15683863.812562,14517600
"BRA","Brazil",852303467,190362780.632998,150164900
"BRB","Barbados",44408,NA,NA
"BRN","Brunei Darussalam",593101,63092.439058,96700
"BTN","Bhutan",3873516,62610.618607,571800
"BWA","Botswana",58094263,NA,NA
"CAF","Central African Republic",62415555,27179.289132,12000
"CAN","Canada",993469948,711277.755188,3619600
"CHE","Switzerland",4127031,NA,NA
"CHL","Chile",74883625,945868.16599,684000
"CHN","China",940245525,502078.160222,5492400
"CIV","Côte d'Ivoire",32386621,532305.446829,428300
"CMR","Cameroon",46803062,1122820.24992,541600
"COD","Democratic Republic of the Congo",234341157,6167639.835189,1760000
"COG","Congo",34633406,442685.975324,195900
"COL","Colombia",114333001,7557816.565573,4400500
"COM","Comoros",165733,NA,NA
"CPV","Cabo Verde",408658,NA,NA
"CRI","Costa Rica",5163298,31443.621374,59700
"CUB","Cuba",11026616,106304.46176,180600
"CYP","Cyprus",907930,NA,NA
"CZE","Czechia",7877835,NA,NA
"DEU","Germany",35712768,NA,NA
"DJI","Djibouti",2181797,NA,NA
"DMA","Dominica",76608,NA,NA
"DNK","Denmark",4439770,NA,NA
"DOM","Dominican Republic",4859106,152888.645691,261000
"DZA","Algeria",231472917,29285.525544,154400
"ECU","Ecuador",25673456,122154.16788,194500
"EGY","Egypt",98841761,19.556892,4800
"ERI","Eritrea",12111177,NA,NA
"ESH","Western Sahara",27032204,NA,NA
"ESP","Spain",50661783,NA,NA
"EST","Estonia",4513384,NA,NA
"ETH","Ethiopia",113602598,8438.639084,64400
"FIN","Finland",33460246,NA,NA
"FJI","Fiji",1870345,10679.801896,59900
"FLK-20221023","Falkland Islands (Malvinas)",1189042,NA,NA
"FRA","France",66784385,187712.418332,406700
"FSM","Micronesia",66379,NA,NA
