adm0_id,iso_3,adm0_name,adm0_name1,status_nm,cpi_mean,cpi_median_approx,cpi_stdDev,cpi_n_30m_pixels
ABW-20221023,ABW,Aruba (Neth.),Aruba,Territory/Self-governing territory,0.3935584897050681,0.4353588852617476,0.13701615680185153,433
AFG-20221023,AFG,Afghanistan,Afghanistan,State,0.3642633179485355,0.3573946577998269,0.09396529193834086,4803892
AGO-20221023,AGO,Angola,Angola,State,0.557706977013353,0.5605527760184981,0.15067248045468376,526447609
AIA-20221023,AIA,Anguilla (UK),Anguilla,Non-self-governing territory,0.7213201579360649,0.7202322746024412,0.036999477323758224,3901
ALA-20221023,ALA,Åland Islands (Fin.),Åland Islands,Territory/Self-governing territory,0.4714210680282157,0.541015247982723,0.2105497696882501,782343
ALB-20221023,ALB,Albania,Albania,State,0.4227983363015585,0.4589685166666845,0.16975585170885424,10564857
AND-20221023,AND,Andorra,Andorra,State,0.4144891796988291,0.4629011616272451,0.1607403252127844,283723
ARE-20221023,ARE,United Arab Emirates,United Arab Emirates,State,0.6332067349335042,0.5213099974724982,0.14538988145939333,82
ARG-20221023,ARG,Argentina,Argentina,State,0.7123981078964619,0.7519482168981083,0.20468340046642733,566115664
ARM-20221023,ARM,Armenia,Armenia,State,0.4648545739508501,0.45900039255524033,0.10386614320188066,5111991
ASM-20221023,ASM,American Samoa (USA),American Samoa,Non-self-governing territory,,,,0
ATF_1-20221023,ATF,Kerguelen Islands (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATF_2-20221023,ATF,Crozet Archipelago (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATF_3-20221023,ATF,Saint Paul and Amsterdam Islands (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATF_4-20221023,ATF,Bassas da India (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATF_5-20221023,ATF,Europa Island (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATF_6-20221023,ATF,Glorioso Islands (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATF_7-20221023,ATF,Juan de Nova Island (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATF_8-20221023,ATF,Tromelin Island (Fr.),French Southern Territories,Territory/Self-governing territory,,,,0
ATG-20221023,ATG,Antigua and Barbuda,Antigua and Barbuda,State,0.6156722839655622,0.6700695391759268,0.13020106462642186,138453
AUS_1-20221023,AUS,Australia,Australia,State,0.4673603412180426,0.45101497293633225,0.2128217520286763,1032406917
